,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
119,2978,1,0,2.9,177,30,20,1211,700.0,5047
120,2569,1,0,3.7,136,1,62,1507,600.0,5047
121,2811,1,0,4.1,185,30,62,1022,200.0,5047
122,42,1,0,3.8,155,54,20,1597,400.0,5047
123,2544,1,0,3.8,42,1,62,1589,300.0,2891
124,2935,1,0,3.8,286,4,20,1156,600.0,5047
125,1105,1,0,3.8,160,1,20,1196,700.0,5047
126,1323,1,0,3.8,59,1,20,1196,750.0,5047
127,1168,1,0,4.0,89,30,62,1551,200.0,5047
128,2989,1,0,3.9,40,4,20,1280,600.0,5047
129,2734,1,0,2.5,35,4,62,817,200.0,5047
130,1831,1,0,3.6,62,1,65,985,600.0,5047
131,2321,1,0,4.1,139,30,20,1277,550.0,5047
132,675,1,0,3.7,237,1,62,1571,200.0,3163
133,1902,1,0,3.9,388,1,20,299,650.0,5047
134,885,1,0,3.9,128,46,20,1568,500.0,103
135,1121,1,1,4.1,1875,30,20,1159,1200.0,5047
136,525,1,0,3.8,90,1,13,332,650.0,5047
137,1773,1,0,4.2,179,1,29,1465,600.0,5047
138,2488,1,0,4.3,275,4,62,1547,100.0,2701
139,676,1,0,3.7,323,30,20,609,850.0,5047
140,2113,1,0,4.3,322,30,20,1547,400.0,5047
141,1340,1,0,2.6,157,30,13,346,450.0,5047
142,1408,1,0,3.9,543,4,62,1571,300.0,2710
143,3097,1,0,3.7,180,1,13,496,500.0,5047
144,2122,1,0,4.2,444,4,62,1547,100.0,3895
145,252,1,0,3.9,134,30,62,1647,400.0,4179
146,2273,1,0,3.8,577,30,20,1421,900.0,5047
147,783,1,0,3.9,144,30,20,1268,550.0,5047
148,2502,1,0,4.1,787,1,20,594,800.0,5047
149,1706,1,0,3.6,84,1,62,1589,250.0,110
150,2361,1,1,4.0,349,1,20,1519,1200.0,5047
151,813,1,0,3.7,248,46,62,1327,400.0,5047
152,472,1,0,4.1,216,4,13,391,500.0,5047
153,2066,1,0,4.0,324,1,13,462,700.0,5047
154,1699,1,0,2.6,231,46,62,1270,400.0,4439
155,2485,1,0,3.4,102,79,20,1591,400.0,743
156,573,1,0,3.9,133,1,13,441,800.0,5047
157,2848,1,0,2.8,45,1,20,1483,800.0,5047
158,2266,1,0,3.8,75,1,62,836,200.0,5047
159,968,1,0,4.0,53,63,29,1113,600.0,5047
160,2866,1,1,4.2,815,30,20,1196,900.0,5047
161,1160,1,1,4.0,633,1,20,1196,800.0,5047
162,660,1,0,3.5,56,30,30,958,400.0,5047
163,3061,1,0,3.9,70,1,30,846,400.0,5047
164,736,1,0,3.9,91,30,13,439,300.0,5047
165,239,1,0,3.8,77,46,13,401,650.0,5047
166,1316,1,0,3.8,210,46,20,1235,600.0,5047
167,2701,1,0,4.1,130,30,13,473,650.0,5047
168,587,1,0,4.1,30,30,9,231,100.0,5047
169,1475,1,0,3.8,144,1,13,533,700.0,5047
170,2895,1,0,3.7,133,30,20,607,700.0,5047
171,2809,1,0,4.0,136,30,62,1571,350.0,1680
172,2970,1,0,3.8,74,4,62,1589,300.0,5047
173,1587,1,0,3.7,54,4,13,359,600.0,5047
174,11,1,0,3.4,58,4,13,436,400.0,5047
175,1393,1,0,3.6,129,1,20,1091,600.0,5047
176,180,1,0,3.5,41,75,44,1475,400.0,5047
177,752,1,0,4.1,176,4,20,68,800.0,5047
178,1635,1,0,3.7,47,30,66,844,400.0,5047
179,812,1,1,3.7,36,30,20,586,650.0,5047
180,898,1,0,3.9,101,4,62,1547,150.0,5047
181,2312,1,1,4.1,442,30,60,692,1200.0,5047
182,2327,1,0,3.8,53,30,62,953,250.0,5047
183,1004,1,0,4.0,232,30,62,1561,400.0,5047
184,679,1,0,3.9,221,30,20,521,700.0,5047
185,937,1,1,4.1,1063,30,21,987,1200.0,5047
186,1092,1,0,3.7,93,4,62,1628,200.0,5047
187,2172,1,0,3.9,233,30,20,1007,800.0,5047
188,2151,1,0,3.9,211,30,20,840,500.0,5047
189,1646,1,0,4.0,1778,30,62,1444,200.0,43
190,2440,1,0,3.6,218,82,20,1277,800.0,5047
191,504,1,0,3.7,514,4,13,458,600.0,5047
192,1332,1,1,4.0,866,30,20,1296,900.0,5047
193,1436,1,0,3.2,96,46,62,1156,400.0,5047
194,1355,1,0,3.5,80,1,62,1670,250.0,5047
195,108,1,0,4.0,73,4,0,194,300.0,3025
196,132,1,0,3.9,84,30,69,1121,400.0,5047
197,640,1,0,3.5,88,1,62,1592,350.0,5047
198,2593,1,0,3.5,179,1,20,1208,600.0,5047
199,555,1,0,3.8,61,4,62,1021,100.0,5047
200,1886,1,0,3.7,128,79,20,1220,450.0,5047
201,2989,1,0,3.8,339,30,62,1589,400.0,740
202,1433,1,0,4.1,449,4,62,1628,100.0,5047
203,2519,1,0,4.1,210,30,32,210,150.0,5047
204,452,1,0,3.0,213,1,62,1428,400.0,5047
205,589,1,0,3.2,208,30,12,1652,250.0,4095
206,1336,1,0,3.8,70,1,62,1547,100.0,131
207,2210,1,0,4.0,219,4,13,455,600.0,5047
208,2998,1,0,3.7,59,1,62,1451,200.0,5047
209,2880,1,0,3.7,124,46,20,292,750.0,5047
210,1333,1,1,4.1,775,1,20,1386,800.0,5047
211,2570,1,1,4.2,2022,30,20,1416,1000.0,5047
212,519,1,1,4.2,150,1,13,462,600.0,1390
213,1763,1,0,4.0,232,4,20,1196,750.0,5047
214,2138,1,1,3.5,431,30,20,1156,800.0,5047
215,3036,1,1,4.2,2115,1,20,1481,800.0,5047
216,1423,1,0,4.2,150,30,20,1156,800.0,1664
217,2575,1,0,3.8,155,30,20,1597,450.0,5047
218,141,1,1,4.1,666,30,21,50,1000.0,5047
219,2557,1,0,3.9,240,4,13,332,700.0,5047
220,2322,1,0,3.8,918,1,16,484,800.0,5047
221,2182,1,0,4.0,465,30,20,1597,600.0,2731
222,426,1,1,4.1,970,30,54,1313,1500.0,5047
223,2194,1,0,3.3,128,1,62,1196,300.0,5047
224,1805,1,0,3.6,241,46,62,1196,300.0,5047
225,204,1,0,4.3,734,1,62,1597,200.0,3169
226,351,1,0,3.8,130,30,62,1181,400.0,5047
227,473,1,0,4.2,261,30,13,389,700.0,5047
228,441,1,0,4.0,191,46,62,1598,300.0,130
229,2277,1,0,4.1,364,4,20,1566,550.0,133
230,2808,1,0,3.9,888,1,20,1434,750.0,2724
231,2250,1,0,3.9,750,4,20,1277,500.0,3359
232,2747,1,1,4.2,164,1,13,380,500.0,5047
233,235,1,0,3.8,527,4,20,1156,500.0,5047
234,721,0,0,4.3,345,1,30,956,400.0,5047
235,2096,0,0,4.4,356,1,69,1116,150.0,5047
236,1971,1,0,3.9,38,1,30,949,150.0,1817
237,2093,1,0,3.9,116,1,30,959,400.0,2645
238,2322,1,0,3.8,918,1,16,484,800.0,5047
239,1475,1,0,3.8,144,1,13,533,700.0,5047
240,2562,1,0,4.3,860,1,30,789,500.0,5047
241,994,0,0,3.8,45,1,72,175,400.0,5047
242,3061,1,0,3.9,70,1,30,846,400.0,5047
243,2540,0,0,4.0,98,4,70,1123,400.0,5047
244,2210,1,0,4.0,219,4,13,455,600.0,4811
245,108,1,0,4.0,73,4,0,194,300.0,3025
246,43,1,0,2.7,97,4,20,1597,400.0,5047
247,2808,1,0,3.9,888,1,20,1434,750.0,2723
248,2361,1,1,4.0,349,1,20,1519,1200.0,1161
249,1760,1,0,4.2,287,1,62,1156,350.0,5047
250,1985,1,1,4.6,2556,1,22,1468,600.0,5047
251,3065,1,1,4.2,354,1,20,151,800.0,631
252,1333,1,1,4.1,775,1,20,1386,800.0,5047
253,3036,1,1,4.2,2115,1,20,1481,800.0,5047
254,1341,0,1,3.8,977,1,46,878,1300.0,5047
255,1129,0,0,4.1,868,1,57,704,1200.0,5047
256,2066,1,0,4.0,324,1,13,462,700.0,4464
257,2502,1,0,4.1,787,1,20,594,800.0,5047
258,2460,1,0,4.2,504,1,13,485,550.0,921
259,535,1,0,4.1,402,1,13,332,500.0,3421
260,519,1,1,4.2,150,1,13,462,600.0,1391
261,2747,1,1,4.2,164,1,13,380,500.0,2020
262,2071,0,0,4.2,244,1,20,1000,800.0,5047
263,149,1,0,4.0,771,1,20,1589,450.0,4549
264,2606,1,0,4.2,1647,1,20,609,600.0,5047
265,10,0,1,4.0,808,1,20,1196,850.0,5047
266,469,0,0,4.0,424,1,13,383,450.0,5047
267,2693,1,0,3.9,135,1,20,1222,800.0,3649
268,2322,1,0,3.8,918,1,16,484,800.0,5047
269,525,1,0,3.8,90,1,13,332,650.0,5047
270,676,1,0,3.9,519,1,20,561,900.0,5047
271,3028,1,0,3.6,105,1,20,1678,700.0,5047
272,573,1,0,3.9,133,1,13,441,800.0,1303
273,1475,1,0,3.8,144,1,13,533,700.0,5047
274,2608,0,0,3.9,93,1,13,456,300.0,5047
275,2544,1,0,3.8,42,1,62,1589,300.0,2891
276,769,1,0,2.5,247,1,20,1156,500.0,2854
277,2900,1,0,3.0,62,1,13,444,400.0,2412
278,1105,1,0,3.8,160,1,20,1196,700.0,4051
279,1393,1,0,3.6,129,1,20,1091,600.0,1332
280,3023,0,0,3.3,62,1,4,1589,800.0,5047
281,1863,0,0,2.6,283,1,20,1156,600.0,5047
282,1323,1,0,3.8,59,1,20,1196,750.0,5047
283,2593,1,0,3.5,179,1,20,1208,600.0,3594
284,1321,0,0,3.8,62,1,62,1561,150.0,5047
285,777,0,0,3.0,98,1,4,1196,800.0,5047
286,292,0,0,2.7,128,1,20,604,850.0,5047
287,2848,1,0,2.8,45,1,20,1483,800.0,2158
288,180,1,0,3.5,41,75,44,1475,400.0,5047
289,2083,1,0,3.7,405,1,20,1474,750.0,4226
290,1902,1,0,3.9,388,1,20,299,650.0,959
